,molecule_chembl_id,EC50,units,smiles,pEC50
27,CHEMBL4461783,10200.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@@H](CO[P@@](=O)(S)O[C@@H]1C2)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3F,4.991399828238082
28,CHEMBL4647695,10600.0,nM,COc1cc2sc(C(=O)C[C@H](C)C(=O)O)nc2cc1Br,4.97469413473523
29,CHEMBL4476079,10700.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2C3)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4F)c(=O)[nH]1,4.97061622231479
30,CHEMBL4446841,11000.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)nc(F)nc32)[C@@H]4F)c(=O)[nH]1,4.958607314841775
31,CHEMBL4444779,11200.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@@H](CO[P@@](=O)(S)O[C@@H]1[C@@H]2F)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3O,4.950781977329818
32,CHEMBL4466863,13300.0,nM,CSc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(=O)[nH]c(N)nc21,4.876148359032914
33,CHEMBL4633721,13300.0,nM,COc1cc2nc(C(=O)CCC(=O)O)sc2cc1OC,4.876148359032914
34,CHEMBL4468010,13300.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3F)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4F)c(=O)[nH]1,4.876148359032914
35,CHEMBL4577528,13800.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4F)c(=O)[nH]1,4.860120913598763
36,CHEMBL1229884,14900.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@@H]3[C@@H](CO[P@@](=O)(O)O[C@H]2[C@H]1O)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3O,4.826813731587726
37,CHEMBL4459563,15100.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1,4.82102305270683
38,CHEMBL4589856,16700.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3F)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.777283528852417
39,CHEMBL4464910,17900.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@H](O)[C@@H](CO[P@@](=O)(S)O[C@H]2[C@H]1F)O[C@H]3n1cnc2c(N)ncnc21,4.747146969020107
40,CHEMBL4461374,19300.0,nM,CCN(CC)CC.CCN(CC)CC.Nc1nc2c(ncn2[C@@H]2O[C@@]34CO[C@@H]2[C@@H]3O[P@](=O)(S)OC[C@]23CO[C@H]([C@@H]2O[P@](=O)(S)OC4)[C@H](n2cnc4c(N)ncnc42)O3)c(=O)[nH]1,4.714442690992226
41,CHEMBL4471585,20700.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(=O)OC)cc(OC)c2n1CCCNC(=O)OCc1ccccc1,4.684029654543083
42,CHEMBL4570468,21600.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2C3)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,4.665546248849069
43,CHEMBL4455856,22200.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CNC(=S)N[C@@H]3[C@@H](CNC(=S)N[C@H]2[C@H]1O)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3O,4.653647025549361
